facility_id,facility_type,region_id,name_ar,category,rationale,coded_at
342,football_academy,makkah_region,أكاديمية افق,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
521,football_academy,makkah_region,أكاديمية فارس,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1035,football_academy,madinah_region,أكاديمية امجاد طيبة,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1175,football_academy,qassim_region,أكاديمية إكس فور الرياضية,commercial,Branded private academy (English brand X4),2026-05-02T19:15:11.109279+00:00
1237,football_academy,qassim_region,أكاديمية الاسطورة,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1253,football_academy,qassim_region,أكاديمية الموهوبين بعنيزة,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1276,football_academy,qassim_region,أكاديمية TO34 الرياضية,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1315,football_academy,aseer_region,أكاديمية المحترف فرع أبها ( بنين ),commercial,Branded chain academy with branch network,2026-05-02T19:15:11.109279+00:00
1393,football_academy,aseer_region,أكاديمية مواهب الجنوب لكرة القدم,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1494,football_academy,tabuk_region,أكاديمية الكاسر الرياضية,commercial,Branded private academy (SAFF-accredited),2026-05-02T19:15:11.109279+00:00
1572,football_academy,hail_region,أكاديمية فارس,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
1712,football_academy,jizan_region,أكاديمية الليث الأبيض الرياضية بصبيا مقابل بلدية صبيا,commercial,Branded private academy (SAFF-accredited),2026-05-02T19:15:11.109279+00:00
319,football_club,makkah_region,ملعب نادي الإتحاد,mixed,Al-Ittihad official club ground; public-access matches + paid academy,2026-05-02T19:15:11.109279+00:00
358,football_club,makkah_region,ملعب نادي السد الرياضي بجدة,mixed,Sports club facility; standard mixed-access pattern,2026-05-02T19:15:11.109279+00:00
404,football_club,makkah_region,Private Padel Club,commercial,"Name explicitly ""private""; padel = pay-per-hour",2026-05-02T19:15:11.109279+00:00
505,football_club,makkah_region,نادي وج الرياضي,mixed,"Local sports club, mixed access",2026-05-02T19:15:11.109279+00:00
895,football_club,eastern_region,نادي التوبي,mixed,Local sports club,2026-05-02T19:15:11.109279+00:00
957,football_club,eastern_region,نادي مدينة القوة الرياضي ( جيم _ GYM),commercial,"Branded as GYM, commercial fitness",2026-05-02T19:15:11.109279+00:00
1074,football_club,madinah_region,نادي أبطال المدينة,mixed,Local sports club,2026-05-02T19:15:11.109279+00:00
1292,football_club,qassim_region,صالة نادي الحزم للالعاب الرياضية,mixed,Al-Hazem club hall; club facility,2026-05-02T19:15:11.109279+00:00
1416,football_club,aseer_region,نادي الخميس الرياضي,mixed,Local sports club,2026-05-02T19:15:11.109279+00:00
1595,football_club,hail_region,نادي الحي بمجمع المعهد العلمي,public,Neighborhood club at education complex (نادي الحي = community club),2026-05-02T19:15:11.109279+00:00
1634,football_club,northern_borders_region,نادي المساعدية الرياضي فرع الريان,mixed,Branch of municipal sports club,2026-05-02T19:15:11.109279+00:00
1969,football_club,al-jouf_region,نادي القلعة بالجوف,mixed,Local sports club,2026-05-02T19:15:11.109279+00:00
62,football_venue,riyadh_region,قوة | QWH الندى,commercial,Branded venue,2026-05-02T19:15:11.109279+00:00
85,football_venue,riyadh_region,ملاعب المستطيل الأخضر,commercial,"Branded pitch business ""Green Rectangle Fields""",2026-05-02T19:15:11.109279+00:00
101,football_venue,riyadh_region,Football turf,commercial,English-named pay-per-hour pitch,2026-05-02T19:15:11.109279+00:00
124,football_venue,riyadh_region,ملاعب الاسطورة,commercial,Branded pitch business,2026-05-02T19:15:11.109279+00:00
140,football_venue,riyadh_region,اكاديمية اهدافي الرياضية,commercial,Branded private academy,2026-05-02T19:15:11.109279+00:00
202,football_venue,riyadh_region,أحد مرافق الحديقة الجدارية بمحافظة الدوادمي,public,Public park facility (الحديقة),2026-05-02T19:15:11.109279+00:00
225,football_venue,riyadh_region,سنام بارك,commercial,Branded commercial park,2026-05-02T19:15:11.109279+00:00
264,football_venue,riyadh_region,واجهة اللعب,commercial,Branded venue,2026-05-02T19:15:11.109279+00:00
280,football_venue,riyadh_region,شقراء بادل ارينا,commercial,"Padel arena, pay-per-hour",2026-05-02T19:15:11.109279+00:00
